,순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
150,147,김진욱,한화,15,1,1,3,3,2,6,0,0,0.319
151,147,채드벨,한화,15,1,0,2,9,2,22,0,0,0.19699999999999998
152,153,김진성,NC,16,4,1,2,3,0,18,1,0,0.32
153,154,김주한,SK,17,1,1,2,3,3,8,0,0,0.34700000000000003
154,154,임찬규,LG,17,5,0,3,19,0,24,2,0,0.207
155,154,배제성,KT,17,1,0,3,9,0,11,1,0,0.27899999999999997
156,157,이승진,두산,18,4,2,2,8,1,20,0,0,0.261
157,158,이승호,키움,19,2,0,3,10,0,17,0,0,0.21100000000000002
158,158,최성영,NC,19,5,0,2,14,0,8,0,0,0.275
159,158,샘슨,롯데,19,3,0,3,7,2,11,1,1,0.26
160,161,한현희,키움,20,5,0,5,5,3,24,0,0,0.187
161,161,박종훈,SK,20,6,0,2,10,7,12,1,0,0.28600000000000003
162,161,송명기,NC,20,4,0,2,5,0,15,3,0,0.27
163,161,소형준,KT,20,3,0,0,12,2,24,1,0,0.198
164,165,서준원,롯데,21,6,0,2,8,0,9,0,0,0.292
165,166,문승원,SK,22,5,0,3,10,1,17,0,0,0.262
166,166,신민혁,NC,22,4,0,4,6,2,9,0,0,0.278
167,166,원태인,삼성,22,3,0,3,8,1,7,3,0,0.253
168,166,장시환,한화,22,2,0,2,9,0,10,1,0,0.289
169,170,이민호,LG,23,6,0,1,4,2,10,0,0,0.303
170,170,고영창,KIA,23,2,0,1,4,1,4,0,0,0.418
171,172,김윤식,LG,24,6,0,2,13,2,16,1,0,0.245
172,172,최채흥,삼성,24,3,0,2,7,1,9,0,0,0.353
173,174,켈리,LG,25,5,0,3,5,1,22,2,0,0.214
174,175,윌슨,LG,26,2,0,4,10,4,27,0,0,0.23
175,175,양현종,KIA,26,6,0,0,12,1,35,2,0,0.243
176,175,임기영,KIA,26,5,0,3,9,0,15,0,0,0.33299999999999996
177,175,라이블리,삼성,26,2,1,3,16,3,26,1,0,0.265
178,179,김민수,KT,27,2,1,2,4,1,12,1,0,0.33299999999999996
179,179,쿠에바스,KT,27,7,0,3,11,2,9,0,0,0.262
180,179,브룩스,KIA,27,5,0,0,2,0,26,0,0,0.278
181,179,노경은,롯데,27,9,0,2,4,1,12,0,0,0.245
182,183,박세웅,롯데,28,4,0,2,8,0,20,1,0,0.257
183,184,최원준,두산,30,1,2,3,6,0,22,1,1,0.294
184,184,라이트,NC,30,4,1,2,8,2,30,1,1,0.252
185,186,이건욱,SK,31,8,1,5,21,2,20,3,0,0.284
