,순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
78,79,박승규,삼성,0.278,54,15,4,0,0,5,0,1,7,2
79,79,노수광,한화,0.278,72,20,3,1,0,6,14,1,14,1
80,79,최재훈,한화,0.278,54,15,2,0,1,5,2,5,7,1
81,79,김재유,롯데,0.278,18,5,1,0,0,0,3,0,8,0
82,83,김재환,두산,0.276,76,21,3,0,5,14,16,0,21,3
83,84,박승욱,KT,0.275,40,11,1,0,1,3,4,1,12,0
84,84,홍종표,KIA,0.275,40,11,1,0,0,6,0,0,7,0
85,86,오재원,두산,0.273,11,3,0,0,0,2,1,0,5,0
86,86,노태형,한화,0.273,11,3,0,1,0,1,0,0,4,0
87,86,신본기,롯데,0.273,22,6,0,0,1,6,4,0,2,1
88,89,최용제,두산,0.27,37,10,0,1,0,7,0,0,7,2
89,90,라모스,LG,0.27,89,24,1,1,10,18,11,0,31,2
90,91,김민혁,KT,0.267,30,8,1,0,1,6,6,0,9,0
91,91,정진호,한화,0.267,15,4,0,1,0,1,2,0,1,0
92,93,유한준,KT,0.266,79,21,4,0,2,10,10,0,9,5
93,94,김준태,롯데,0.263,38,10,1,0,2,9,10,0,9,0
94,95,채태인,SK,0.261,46,12,1,0,2,5,7,0,10,1
95,95,오선진,한화,0.261,23,6,1,0,0,1,3,0,2,0
96,97,이대호,롯데,0.256,90,23,4,0,3,19,3,1,13,4
97,98,전병우,키움,0.254,67,17,3,2,2,7,7,1,12,2
98,99,서예일,두산,0.25,8,2,0,0,0,1,2,0,1,0
99,99,최정,SK,0.25,76,19,3,0,6,23,16,3,18,1
100,99,김민성,LG,0.25,52,13,3,0,0,7,2,1,16,3
101,99,양석환,LG,0.25,12,3,0,0,0,1,0,0,2,0
102,99,오지환,LG,0.25,96,24,8,2,1,10,7,0,21,1
103,99,정주현,LG,0.25,68,17,1,0,0,10,9,0,15,1
104,99,노진혁,NC,0.25,72,18,3,1,4,19,9,0,16,2
105,99,이진영,KIA,0.25,4,1,0,0,0,1,1,0,1,0
106,99,김상수,삼성,0.25,32,8,1,0,0,3,1,2,3,0
107,108,황재균,KT,0.244,86,21,9,1,1,14,13,1,16,2
108,109,박병호,키움,0.243,37,9,1,0,3,8,10,2,14,1
109,109,유강남,LG,0.243,74,18,3,0,6,16,7,1,20,3
110,111,김인태,두산,0.24100000000000002,29,7,3,0,1,7,5,0,5,1
111,111,한승택,KIA,0.24100000000000002,29,7,0,0,2,5,8,0,8,0
112,111,구자욱,삼성,0.24100000000000002,87,21,1,0,1,13,13,1,19,0
113,114,허경민,두산,0.23800000000000002,63,15,2,0,1,5,5,0,5,2
114,114,주효상,키움,0.23800000000000002,21,5,1,0,0,2,6,0,6,0
115,114,오준혁,SK,0.23800000000000002,21,5,1,0,0,2,0,0,5,0
116,114,오선우,KIA,0.23800000000000002,21,5,0,0,2,7,0,2,9,0
117,118,배정대,KT,0.237,76,18,4,0,2,8,18,0,20,3
118,119,하주석,한화,0.23600000000000002,72,17,2,0,2,12,3,1,21,1
119,120,한동민,SK,0.235,68,16,2,0,3,5,14,3,17,2
120,120,김성욱,NC,0.235,17,4,2,0,0,1,2,1,4,0
121,120,이창진,KIA,0.235,17,4,2,0,0,1,2,0,3,1
122,123,박계범,삼성,0.23399999999999999,64,15,2,0,1,5,3,0,13,1
123,124,이원석,삼성,0.233,60,14,2,0,0,4,5,0,11,1
124,125,이홍구,KT,0.231,13,3,0,0,1,2,3,1,3,0
125,125,고장혁,KIA,0.231,13,3,0,0,0,0,0,0,5,0
126,125,김도환,삼성,0.231,13,3,2,0,0,5,1,0,5,0
127,125,임종찬,한화,0.231,26,6,1,0,0,2,2,0,10,0
128,125,오윤석,롯데,0.231,13,3,1,0,0,3,0,0,3,0
129,130,김선빈,KIA,0.226,31,7,1,0,0,1,3,0,6,0
130,130,송광민,한화,0.226,31,7,1,0,2,7,3,0,4,5
131,132,서건창,키움,0.222,81,18,4,0,0,7,20,0,6,2
132,132,최진행,한화,0.222,45,10,1,0,1,4,4,2,12,2
133,134,박석민,NC,0.22,50,11,1,0,0,7,15,4,10,1
134,135,안치홍,롯데,0.21899999999999997,73,16,4,0,0,5,7,1,8,1
