,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,심우준,KT,유격수,112,103,898 2/3,16,0,175,335,71,0.97,0,0,0,-
1,2,오지환,LG,유격수,111,108,895,11,0,142,303,69,0.976,0,0,0,-
2,2,배정대,KT,중견수,111,110,952,4,0,286,10,2,0.987,0,0,0,-
3,2,마차도,롯데,유격수,111,108,939 2/3,7,0,185,307,73,0.986,0,0,0,-
4,5,정수빈,두산,중견수,110,102,908 1/3,1,0,275,7,3,0.996,0,0,0,-
5,6,박찬호,KIA,유격수,109,106,915,12,0,148,314,80,0.975,0,0,0,-
6,7,전준우,롯데,좌익수,106,104,897 1/3,3,0,210,8,0,0.986,0,0,0,-
7,8,유강남,LG,포수,105,98,801 2/3,1,0,640,39,4,0.9990000000000001,6,51,17,25.0
8,9,나지완,KIA,좌익수,102,101,795 1/3,0,0,150,1,1,1.0,0,0,0,-
9,9,터커,KIA,우익수,102,101,840,1,0,164,3,1,0.9940000000000001,0,0,0,-
10,11,로맥,SK,1루수,101,98,838,8,0,758,40,91,0.99,0,0,0,-
11,12,알테어,NC,중견수,100,99,842 2/3,1,0,254,2,1,0.996,0,0,0,-
12,12,장성우,KT,포수,100,91,758 2/3,2,0,536,28,6,0.996,6,37,12,24.5
13,12,황재균,KT,3루수,100,98,843,8,0,77,169,24,0.9690000000000001,0,0,0,-
14,15,박건우,두산,우익수,99,93,749,2,0,184,7,4,0.99,0,0,0,-
15,15,최정,SK,3루수,99,96,795 1/3,8,0,65,145,19,0.963,0,0,0,-
16,15,안치홍,롯데,2루수,99,97,835,12,0,164,284,55,0.9740000000000001,0,0,0,-
17,18,정주현,LG,2루수,98,82,684,6,0,143,246,56,0.985,0,0,0,-
18,19,노진혁,NC,유격수,97,89,741 1/3,5,0,142,212,47,0.986,0,0,0,-
19,19,박해민,삼성,중견수,97,92,768 1/3,0,0,250,5,2,1.0,0,0,0,-
20,21,김재환,두산,좌익수,96,96,773 1/3,1,0,185,5,1,0.995,0,0,0,-
21,21,라모스,LG,1루수,96,95,765 2/3,5,0,748,53,77,0.9940000000000001,0,0,0,-
22,23,강백호,KT,1루수,95,92,801 1/3,5,0,804,59,87,0.9940000000000001,0,0,0,-
23,23,로하스,KT,우익수,95,95,786 1/3,3,0,196,6,3,0.985,0,0,0,-
24,25,최재훈,한화,포수,94,81,691 2/3,2,1,614,43,13,0.997,3,67,25,27.2
25,25,김준태,롯데,포수,94,57,565 1/3,5,0,428,37,4,0.9890000000000001,2,51,8,13.6
26,27,김현수,LG,좌익수,93,92,780,1,0,183,6,1,0.995,0,0,0,-
27,27,손아섭,롯데,우익수,93,90,775 2/3,1,0,183,4,1,0.995,0,0,0,-
28,29,박민우,NC,2루수,91,86,709 1/3,6,0,187,204,53,0.985,0,0,0,-
29,29,한동희,롯데,3루수,91,86,710 2/3,11,0,44,142,9,0.9440000000000001,0,0,0,-
30,31,김재호,두산,유격수,90,86,731 2/3,10,0,101,220,44,0.97,0,0,0,-
31,31,김성현,SK,유격수,90,77,610 1/3,7,0,105,178,44,0.976,0,0,0,-
32,31,이명기,NC,좌익수,90,82,676,1,0,146,5,0,0.993,0,0,0,-
33,31,박경수,KT,2루수,90,80,641 2/3,7,0,148,248,53,0.983,0,0,0,-
34,31,유민상,KIA,1루수,90,84,725 2/3,9,0,666,41,87,0.987,0,0,0,-
35,36,박세혁,두산,포수,88,78,650 1/3,6,1,528,31,5,0.9890000000000001,1,48,10,17.2
36,36,강민호,삼성,포수,88,80,655 2/3,6,1,480,29,3,0.988,1,25,16,39.0
37,38,강진성,NC,1루수,87,78,649 2/3,4,0,537,36,65,0.993,0,0,0,-
38,38,박석민,NC,3루수,87,81,651 1/3,12,0,59,111,13,0.934,0,0,0,-
39,38,김상수,삼성,2루수,87,85,687 1/3,7,0,177,220,64,0.983,0,0,0,-
40,38,이용규,한화,중견수,87,81,665,3,0,188,0,0,0.9840000000000001,0,0,0,-
41,42,오재일,두산,1루수,86,82,691 2/3,3,0,631,28,53,0.995,0,0,0,-
42,43,최주환,두산,2루수,85,82,610 2/3,7,0,140,199,42,0.98,0,0,0,-
43,44,이정후,키움,우익수,84,71,615 2/3,2,0,138,6,1,0.986,0,0,0,-
44,44,김강민,SK,중견수,84,46,470 2/3,1,0,141,5,2,0.993,0,0,0,-
45,44,양의지,NC,포수,84,76,631 2/3,1,1,517,39,4,0.998,3,27,20,42.6
46,44,민병헌,롯데,중견수,84,67,610 1/3,0,0,155,2,1,1.0,0,0,0,-
47,48,김하성,키움,유격수,78,69,611 2/3,10,0,102,205,45,0.968,0,0,0,-
48,48,박병호,키움,1루수,78,76,637 2/3,5,0,610,50,64,0.992,0,0,0,-
49,50,정은원,한화,2루수,77,72,622,4,0,136,179,43,0.987,0,0,0,-
50,51,전병우,키움,3루수,76,62,551 2/3,8,0,37,105,6,0.9470000000000001,0,0,0,-
51,52,허경민,두산,3루수,72,69,612,7,0,58,117,17,0.9620000000000001,0,0,0,-
52,53,정보근,롯데,포수,71,51,377 2/3,2,0,308,26,3,0.9940000000000001,3,27,12,30.8
53,54,박동원,키움,포수,70,63,528 1/3,5,4,384,29,3,0.988,5,38,10,20.8
54,55,조용호,KT,좌익수,69,59,438 2/3,1,0,83,4,0,0.9890000000000001,0,0,0,-
55,56,박준태,키움,중견수,67,56,458 2/3,1,0,126,3,1,0.992,0,0,0,-
56,56,한승택,KIA,포수,67,57,495,3,2,471,31,3,0.9940000000000001,2,38,10,20.8
57,58,채은성,LG,우익수,66,62,534 1/3,0,0,135,3,1,1.0,0,0,0,-
58,59,이천웅,LG,중견수,65,64,543,0,0,125,0,0,1.0,0,0,0,-
59,59,하주석,한화,유격수,65,64,530,8,0,86,138,37,0.966,0,0,0,-
60,61,김호령,KIA,중견수,63,32,318,2,0,74,2,1,0.9740000000000001,0,0,0,-
61,62,이학주,삼성,유격수,62,57,483 1/3,4,0,108,161,40,0.985,0,0,0,-
62,63,오재원,두산,2루수,61,29,319 2/3,3,0,73,95,24,0.982,0,0,0,-
63,63,최준우,SK,2루수,61,52,431 1/3,8,0,103,140,29,0.968,0,0,0,-
64,63,김태군,NC,포수,61,27,274 1/3,2,0,233,16,3,0.992,1,10,7,41.2
65,66,김혜성,키움,2루수,60,43,388 2/3,4,0,101,142,33,0.9840000000000001,0,0,0,-
66,66,진해수,LG,투수,60,0,40 2/3,0,0,3,6,0,1.0,0,0,0,-
67,66,나주환,KIA,3루수,60,57,486,8,0,35,101,16,0.9440000000000001,0,0,0,-
68,69,정현,SK,유격수,59,29,289,6,0,45,97,26,0.9590000000000001,0,0,0,-
69,69,홍창기,LG,중견수,59,46,399 2/3,2,0,117,2,1,0.983,0,0,0,-
70,69,최원준,KIA,중견수,59,55,445 2/3,2,0,115,4,1,0.983,0,0,0,-
71,69,이성규,삼성,1루수,59,38,375,3,0,324,33,43,0.992,0,0,0,-
72,73,이지영,키움,포수,58,41,371 2/3,4,2,312,13,1,0.988,0,22,6,21.4
73,73,김민혁,KT,좌익수,58,42,334 2/3,4,0,87,1,0,0.9570000000000001,0,0,0,-
74,75,김용의,LG,1루수,57,5,148 2/3,0,0,145,14,13,1.0,0,0,0,-
75,75,주권,KT,투수,57,0,52,1,0,2,4,0,0.857,0,0,0,-
76,75,김지찬,삼성,2루수,57,25,255,4,0,55,86,11,0.972,0,0,0,-
77,75,이원석,삼성,3루수,57,54,420 2/3,7,0,26,51,8,0.917,0,0,0,-
78,79,노시환,한화,3루수,56,47,404 2/3,7,0,35,75,10,0.94,0,0,0,-
79,80,허정협,키움,좌익수,55,46,386,1,0,74,1,0,0.987,0,0,0,-
80,80,구자욱,삼성,좌익수,55,53,445,1,0,114,5,0,0.992,0,0,0,-
81,82,서건창,키움,2루수,54,52,440 2/3,3,0,124,145,40,0.9890000000000001,0,0,0,-
82,82,김민성,LG,3루수,54,52,402 1/3,4,0,28,63,11,0.958,0,0,0,-
83,82,권희동,NC,좌익수,54,24,245,1,0,54,2,0,0.982,0,0,0,-
84,85,이재원,SK,포수,53,42,349,3,0,288,21,5,0.99,2,27,15,35.7
85,85,최지훈,SK,우익수,53,30,284,2,0,65,0,0,0.97,0,0,0,-
86,85,이성우,LG,포수,53,15,185,1,0,161,10,0,0.9940000000000001,0,16,4,20.0
87,85,김태균,한화,1루수,53,51,402,0,0,352,21,32,1.0,0,0,0,-
88,89,최지훈,SK,중견수,52,48,353,1,0,101,3,1,0.99,0,0,0,-
89,89,배재환,NC,투수,52,0,42,0,0,5,4,0,1.0,0,0,0,-
90,89,임정호,NC,투수,52,0,32,0,0,1,1,0,1.0,0,0,0,-
91,89,김규성,KIA,2루수,52,33,298,2,0,77,114,29,0.99,0,0,0,-
92,93,이현승,두산,투수,51,0,36 2/3,0,0,1,2,0,1.0,0,0,0,-
93,93,이영준,키움,투수,51,0,39 2/3,0,1,4,4,2,1.0,0,0,0,-
94,93,한동민,SK,우익수,51,48,392,2,0,78,1,1,0.975,0,0,0,-
95,93,권희동,NC,우익수,51,43,358 2/3,1,0,87,5,1,0.9890000000000001,0,0,0,-
96,93,최지광,삼성,투수,51,0,44 1/3,1,0,3,6,0,0.9,0,0,0,-
97,93,정진호,한화,좌익수,51,34,305 2/3,0,0,69,4,1,1.0,0,0,0,-
98,99,박승욱,KT,2루수,50,17,185,5,0,38,68,21,0.955,0,0,0,-
99,99,김윤수,삼성,투수,50,0,47 1/3,0,1,0,4,0,1.0,0,0,0,-
100,99,김헌곤,삼성,우익수,50,41,348,0,0,107,3,2,1.0,0,0,0,-
101,99,이승현,삼성,투수,50,0,47,0,0,3,2,0,1.0,0,0,0,-
102,103,박민호,SK,투수,49,0,44 1/3,0,2,0,8,0,1.0,0,0,0,-
103,103,서진용,SK,투수,49,0,46 1/3,0,1,0,1,0,1.0,0,0,0,-
104,103,정우영,LG,투수,49,0,58 1/3,0,0,3,13,0,1.0,0,0,0,-
105,103,김선빈,KIA,2루수,49,48,389 1/3,3,0,95,130,44,0.987,0,0,0,-
106,107,박치국,두산,투수,48,0,57 1/3,2,1,3,5,0,0.8,0,0,0,-
107,107,김상수,키움,투수,48,0,41 1/3,1,1,1,5,0,0.857,0,0,0,-
108,107,구본혁,LG,3루수,48,9,149 2/3,3,0,6,35,8,0.932,0,0,0,-
109,107,박상원,한화,투수,48,0,46 2/3,1,0,3,5,0,0.889,0,0,0,-
110,111,홍건희,두산,투수,47,0,54,0,1,3,6,1,1.0,0,0,0,-
111,111,김정빈,SK,투수,47,0,41,0,0,0,3,0,1.0,0,0,0,-
112,111,김성욱,NC,우익수,47,24,245,0,0,52,1,1,1.0,0,0,0,-
113,114,양현,키움,투수,46,1,51,0,1,2,6,1,1.0,0,0,0,-
114,114,이현석,SK,포수,46,23,233,2,0,165,19,0,0.9890000000000001,0,31,9,22.5
115,114,원종현,NC,투수,46,0,46 1/3,0,0,4,6,0,1.0,0,0,0,-
116,117,박정음,키움,중견수,45,6,121 2/3,0,0,35,0,0,1.0,0,0,0,-
117,117,조상우,키움,투수,45,0,46,0,0,1,2,0,1.0,0,0,0,-
118,117,오태곤,SK,좌익수,45,16,164 2/3,0,0,36,2,1,1.0,0,0,0,-
119,117,김재윤,KT,투수,45,0,48 1/3,0,0,1,4,0,1.0,0,0,0,-
120,117,유원상,KT,투수,45,0,47 1/3,0,0,2,2,0,1.0,0,0,0,-
121,117,구승민,롯데,투수,45,0,48 2/3,0,0,1,0,0,1.0,0,0,0,-
122,117,이대호,롯데,1루수,45,43,359 1/3,1,0,369,32,42,0.998,0,0,0,-
123,117,정훈,롯데,1루수,45,40,350 1/3,1,0,323,30,28,0.997,0,0,0,-
124,125,이정후,키움,중견수,44,34,284 2/3,1,0,89,2,0,0.9890000000000001,0,0,0,-
125,125,이흥련,SK,포수,44,34,292,2,0,256,17,3,0.993,3,31,10,24.4
126,125,전상현,KIA,투수,44,0,45,2,0,2,3,1,0.7140000000000001,0,0,0,-
127,125,이해창,한화,포수,44,27,228,4,0,189,15,0,0.981,0,23,4,14.8
128,125,박진형,롯데,투수,44,0,37,0,0,2,4,0,1.0,0,0,0,-
129,130,김태훈,키움,투수,43,2,55,1,2,2,12,2,0.9329999999999999,0,0,0,-
130,130,김하성,키움,3루수,43,34,295 2/3,5,0,16,76,8,0.948,0,0,0,-
131,130,최항,SK,2루수,43,35,295,3,0,83,101,30,0.9840000000000001,0,0,0,-
132,130,김진영,한화,투수,43,0,38 2/3,0,0,1,6,1,1.0,0,0,0,-
133,130,김원중,롯데,투수,43,0,44 2/3,1,0,2,5,0,0.875,0,0,0,-
134,135,송민섭,KT,좌익수,42,0,73,0,0,17,0,0,1.0,0,0,0,-
135,136,송은범,LG,투수,41,1,43,0,0,2,4,1,1.0,0,0,0,-
136,136,홍상삼,KIA,투수,41,0,34 2/3,0,0,0,3,0,1.0,0,0,0,-
137,136,박승규,삼성,우익수,41,28,247,0,0,49,2,1,1.0,0,0,0,-
138,136,우규민,삼성,투수,41,0,38 2/3,0,0,1,10,1,1.0,0,0,0,-
139,136,노수광,한화,중견수,41,33,281,3,0,89,4,2,0.9690000000000001,0,0,0,-
140,136,윤대경,한화,투수,41,0,38 1/3,1,0,4,4,2,0.889,0,0,0,-
141,142,정상호,두산,포수,40,25,219 1/3,2,0,184,14,1,0.99,2,14,3,17.6
142,142,정근우,LG,2루수,40,30,235,8,0,52,75,22,0.941,0,0,0,-
143,142,최동환,LG,투수,40,0,44 1/3,2,0,2,3,0,0.7140000000000001,0,0,0,-
144,142,최성훈,LG,투수,40,0,28 1/3,0,0,1,6,0,1.0,0,0,0,-
145,142,문경찬,NC,투수,40,0,38,0,0,0,1,0,1.0,0,0,0,-
146,142,김응민,삼성,포수,40,20,198 1/3,2,0,153,8,1,0.988,0,11,1,8.3
147,142,오현택,롯데,투수,40,0,28 1/3,0,0,1,8,0,1.0,0,0,0,-
148,149,윤명준,두산,투수,39,0,38 2/3,0,0,0,6,1,1.0,0,0,0,-
149,149,김웅빈,키움,1루수,39,32,291,3,0,270,21,28,0.99,0,0,0,-
150,149,고종욱,SK,좌익수,39,34,257 2/3,2,0,54,0,0,0.9640000000000001,0,0,0,-
151,149,강재민,한화,투수,39,0,39,0,0,1,7,0,1.0,0,0,0,-
152,149,김종수,한화,투수,39,0,35 1/3,2,0,3,3,0,0.75,0,0,0,-
153,154,이태양,SK,투수,38,0,36,0,0,1,3,0,1.0,0,0,0,-
154,154,나성범,NC,우익수,38,33,283 2/3,0,0,62,2,1,1.0,0,0,0,-
155,154,이원재,NC,1루수,38,19,182 1/3,1,0,155,12,11,0.9940000000000001,0,0,0,-
156,154,송민섭,KT,우익수,38,0,56 1/3,0,0,11,1,0,1.0,0,0,0,-
157,154,조현우,KT,투수,38,0,34 2/3,0,0,3,6,0,1.0,0,0,0,-
158,154,정우람,한화,투수,38,0,41 1/3,0,0,2,9,0,1.0,0,0,0,-
159,154,이인복,롯데,투수,38,1,37 1/3,1,0,1,4,0,0.833,0,0,0,-
160,161,박준태,키움,좌익수,37,20,170,0,0,41,1,0,1.0,0,0,0,-
161,161,박진우,NC,투수,37,1,36 2/3,1,0,1,4,0,0.833,0,0,0,-
162,161,지석훈,NC,3루수,37,6,108 2/3,1,0,12,28,3,0.976,0,0,0,-
163,161,고영창,KIA,투수,37,0,45,1,0,1,8,0,0.9,0,0,0,-
164,161,김민식,KIA,포수,37,34,286,1,0,230,36,5,0.996,2,21,16,43.2
165,161,송광민,한화,3루수,37,33,272 2/3,4,0,22,47,9,0.945,0,0,0,-
166,167,채지선,두산,투수,36,0,32,0,0,5,2,0,1.0,0,0,0,-
167,167,김규민,키움,좌익수,36,15,160,0,0,51,2,0,1.0,0,0,0,-
168,167,김재웅,키움,투수,36,6,50,0,0,3,5,0,1.0,0,0,0,-
169,167,주효상,키움,포수,36,14,150 1/3,3,1,122,10,0,0.978,1,7,7,50.0
170,167,김성현,SK,2루수,36,10,118 1/3,0,0,41,43,13,1.0,0,0,0,-
171,167,김찬형,NC,유격수,36,13,149 1/3,5,0,28,43,12,0.934,0,0,0,-
172,167,이보근,KT,투수,36,0,36 2/3,0,0,1,3,1,1.0,0,0,0,-
173,167,박시영,롯데,투수,36,0,30 1/3,0,0,1,5,1,1.0,0,0,0,-
174,175,최원준,두산,투수,35,12,93,0,1,2,4,0,1.0,0,0,0,-
175,175,장준원,LG,3루수,35,17,157,0,0,11,24,4,1.0,0,0,0,-
176,175,이홍구,KT,포수,35,24,201,1,0,154,9,2,0.9940000000000001,0,20,2,9.1
177,178,김혜성,키움,좌익수,34,24,229 1/3,0,0,42,2,0,1.0,0,0,0,-
178,178,김혜성,키움,유격수,34,26,226 1/3,1,0,43,87,29,0.992,0,0,0,-
179,178,조성운,키움,투수,34,0,38,1,1,1,3,0,0.8,0,0,0,-
180,178,허도환,KT,포수,34,9,105,2,0,68,6,0,0.9740000000000001,1,4,0,0.0
181,178,김대우,롯데,투수,34,1,38 2/3,1,0,2,5,0,0.875,0,0,0,-
182,183,허정협,키움,우익수,33,22,190 1/3,2,0,40,1,0,0.953,0,0,0,-
183,183,구본혁,LG,유격수,33,5,95 2/3,1,0,18,30,2,0.98,0,0,0,-
184,183,김대현,LG,투수,33,0,32 1/3,1,1,2,3,0,0.833,0,0,0,-
185,183,전유수,KT,투수,33,0,33 1/3,1,0,2,1,0,0.75,0,0,0,-
186,183,박준표,KIA,투수,33,0,34 1/3,1,0,5,1,0,0.857,0,0,0,-
187,183,백용환,KIA,포수,33,19,183,2,0,146,7,0,0.987,2,8,5,38.5
188,183,호잉,한화,우익수,33,33,278,0,0,71,2,1,1.0,0,0,0,-
189,190,김인태,두산,좌익수,32,10,116 2/3,0,0,25,0,0,1.0,0,0,0,-
190,190,함덕주,두산,투수,32,3,43 1/3,0,0,1,2,0,1.0,0,0,0,-
191,190,임규빈,키움,투수,32,0,37 1/3,0,0,1,3,0,1.0,0,0,0,-
192,190,구본혁,LG,2루수,32,1,73,0,0,10,29,6,1.0,0,0,0,-
193,190,김태진,KIA,3루수,32,25,221,4,0,24,42,5,0.943,0,0,0,-
194,190,정해영,KIA,투수,32,0,28 2/3,1,1,0,3,0,0.75,0,0,0,-
195,190,노성호,삼성,투수,32,0,28,0,0,0,3,0,1.0,0,0,0,-
196,190,강경학,한화,2루수,32,26,200 1/3,1,0,58,63,19,0.992,0,0,0,-
197,198,김진성,NC,투수,31,0,32,1,1,1,3,0,0.8,0,0,0,-
198,198,천성호,KT,2루수,31,8,99 2/3,3,0,20,31,5,0.9440000000000001,0,0,0,-
199,198,최원준,KIA,좌익수,31,0,47,0,0,11,0,0,1.0,0,0,0,-
200,198,박찬도,삼성,좌익수,31,18,170,0,0,39,1,0,1.0,0,0,0,-
201,198,오승환,삼성,투수,31,0,32 1/3,0,0,3,3,0,1.0,0,0,0,-
202,198,이원석,삼성,1루수,31,27,210 1/3,2,0,183,17,21,0.99,0,0,0,-
203,198,임현준,삼성,투수,31,0,17,1,0,4,3,1,0.875,0,0,0,-
204,205,국해성,두산,우익수,30,13,113,1,0,25,1,0,0.963,0,0,0,-
205,205,조영우,SK,투수,30,2,54 1/3,1,1,2,5,1,0.875,0,0,0,-
206,205,이형종,LG,우익수,30,25,221,0,0,47,0,0,1.0,0,0,0,-
207,205,홍창기,LG,좌익수,30,9,114 2/3,0,0,30,1,0,1.0,0,0,0,-
208,205,송명기,NC,투수,30,6,55 2/3,1,0,0,4,0,0.8,0,0,0,-
209,205,임창민,NC,투수,30,0,28 1/3,0,0,1,2,0,1.0,0,0,0,-
210,205,이준영,KIA,투수,30,0,14 2/3,0,1,1,2,0,1.0,0,0,0,-
211,205,노수광,한화,좌익수,30,17,173,1,0,32,1,0,0.971,0,0,0,-
212,205,오선진,한화,3루수,30,15,162 2/3,2,0,10,36,2,0.958,0,0,0,-
213,205,신본기,롯데,3루수,30,9,115 2/3,2,0,7,20,1,0.9309999999999999,0,0,0,-
214,215,이유찬,두산,3루수,29,16,140,2,0,15,28,6,0.956,0,0,0,-
215,215,정영일,SK,투수,29,0,23 1/3,0,0,1,4,0,1.0,0,0,0,-
216,215,오선우,KIA,우익수,29,9,105,0,0,20,1,0,1.0,0,0,0,-
217,215,홍종표,KIA,2루수,29,19,173 2/3,0,0,54,63,16,1.0,0,0,0,-
218,219,이영하,두산,투수,28,19,117,0,1,7,16,3,1.0,0,0,0,-
219,219,러셀,키움,유격수,28,21,191 1/3,8,0,41,64,12,0.929,0,0,0,-
220,219,안우진,키움,투수,28,0,23 2/3,1,0,2,2,0,0.8,0,0,0,-
221,219,김세현,SK,투수,28,0,26 1/3,1,0,0,2,0,0.667,0,0,0,-
222,219,김태훈,SK,투수,28,8,59 2/3,2,0,1,2,1,0.6,0,0,0,-
223,219,박희수,SK,투수,28,0,24 2/3,0,0,0,3,0,1.0,0,0,0,-
224,219,오준혁,SK,좌익수,28,24,169 2/3,0,0,37,0,0,1.0,0,0,0,-
225,219,최지훈,SK,좌익수,28,11,127 1/3,1,0,29,1,0,0.968,0,0,0,-
226,219,박계범,삼성,3루수,28,18,160 1/3,3,0,16,31,6,0.94,0,0,0,-
227,219,임종찬,한화,우익수,28,22,174 1/3,0,0,37,2,1,1.0,0,0,0,-
228,219,김동한,롯데,3루수,28,6,88,1,0,5,20,1,0.9620000000000001,0,0,0,-
229,230,이유찬,두산,2루수,27,2,54,2,0,15,16,1,0.9390000000000001,0,0,0,-
230,230,이형범,두산,투수,27,0,25 2/3,1,0,1,3,1,0.8,0,0,0,-
231,230,정의윤,SK,좌익수,27,19,160,0,0,41,0,0,1.0,0,0,0,-
232,230,홍창기,LG,우익수,27,18,174 1/3,0,0,44,1,0,1.0,0,0,0,-
233,230,강윤구,NC,투수,27,0,18 2/3,0,0,0,6,0,1.0,0,0,0,-
234,230,이상호,NC,1루수,27,0,52,1,0,58,3,2,0.9840000000000001,0,0,0,-
235,230,데스파이네,KT,투수,27,27,167,0,0,9,19,2,1.0,0,0,0,-
236,230,김지찬,삼성,유격수,27,22,187,3,0,39,62,13,0.971,0,0,0,-
237,230,박승규,삼성,중견수,27,15,147,0,0,51,0,0,1.0,0,0,0,-
238,230,진명호,롯데,투수,27,0,20 2/3,0,0,2,1,0,1.0,0,0,0,-
239,240,하준호,KT,투수,26,1,27 1/3,0,0,1,3,0,1.0,0,0,0,-
240,240,박계범,삼성,유격수,26,15,148 2/3,3,0,24,43,12,0.9570000000000001,0,0,0,-
241,240,장지훈,삼성,투수,26,0,24 1/3,2,0,1,2,0,0.6,0,0,0,-
242,240,홍정우,삼성,투수,26,0,27 1/3,0,0,1,1,0,1.0,0,0,0,-
243,240,오선진,한화,유격수,26,16,156 1/3,0,0,21,49,9,1.0,0,0,0,-
244,245,김주온,SK,투수,25,0,27 1/3,0,0,1,3,0,1.0,0,0,0,-
245,245,정진기,SK,우익수,25,19,184 1/3,3,0,49,0,0,0.9420000000000001,0,0,0,-
246,245,고우석,LG,투수,25,0,24 2/3,0,0,0,3,0,1.0,0,0,0,-
247,245,여건욱,LG,투수,25,0,27 2/3,0,0,0,4,0,1.0,0,0,0,-
248,245,모창민,NC,1루수,25,14,112 2/3,1,0,85,9,10,0.9890000000000001,0,0,0,-
249,245,김민수,KT,투수,25,16,87,0,0,6,3,1,1.0,0,0,0,-
250,245,장현식,KIA,투수,25,0,26 1/3,0,0,2,3,0,1.0,0,0,0,-
251,245,황대인,KIA,1루수,25,18,164 1/3,2,0,172,13,22,0.9890000000000001,0,0,0,-
252,245,최영진,삼성,3루수,25,9,114 1/3,1,0,12,18,2,0.968,0,0,0,-
253,245,안영명,한화,투수,25,0,28 1/3,0,1,1,5,0,1.0,0,0,0,-
254,245,스트레일리,롯데,투수,25,25,155 2/3,3,0,9,11,1,0.87,0,0,0,-
255,245,정훈,롯데,중견수,25,22,191,1,0,46,1,0,0.9790000000000001,0,0,0,-
256,245,한동희,롯데,1루수,25,11,118,1,0,126,5,14,0.992,0,0,0,-
257,258,안권수,두산,좌익수,24,0,43 1/3,0,0,11,0,0,1.0,0,0,0,-
258,258,알칸타라,두산,투수,24,24,151 1/3,0,0,1,14,0,1.0,0,0,0,-
259,258,최용제,두산,포수,24,9,110 1/3,2,0,76,5,1,0.976,0,8,4,33.3
260,258,박준태,키움,우익수,24,11,119 2/3,2,0,25,1,0,0.929,0,0,0,-
261,258,핀토,SK,투수,24,24,127 2/3,0,0,8,20,1,1.0,0,0,0,-
262,258,김준완,NC,우익수,24,9,95 2/3,0,0,19,2,1,1.0,0,0,0,-
263,258,강민국,KT,3루수,24,7,65,0,0,6,11,4,1.0,0,0,0,-
264,258,문상철,KT,1루수,24,14,124 1/3,1,0,115,7,10,0.992,0,0,0,-
265,258,양현종,KIA,투수,24,24,130,2,0,1,15,1,0.889,0,0,0,-
266,258,김대우,삼성,투수,24,9,74,2,0,2,7,1,0.818,0,0,0,-
267,258,김헌곤,삼성,좌익수,24,19,166,1,0,40,1,0,0.976,0,0,0,-
268,269,페르난데스,두산,1루수,23,22,173 2/3,1,0,160,8,20,0.9940000000000001,0,0,0,-
269,269,한현희,키움,투수,23,23,125 2/3,0,0,11,15,0,1.0,0,0,0,-
270,269,박종훈,SK,투수,23,23,122 2/3,0,0,4,13,3,1.000,0,0,0,-
271,269,신민재,LG,중견수,23,2,52,0,0,17,0,0,1.000,0,0,0,-
272,269,켈리,LG,투수,23,23,138 1/3,0,0,9,11,1,1.000,0,0,0,-
273,269,김건태,NC,투수,23,0,23,0,1,0,1,0,1.000,0,0,0,-
274,269,김형준,NC,포수,23,8,94 2/3,0,0,81,5,1,1.000,1,0,4,100
275,269,라이트,NC,투수,23,23,128 2/3,0,0,8,7,1,1.000,0,0,0,-
276,269,루친스키,NC,투수,23,23,143,1,1,10,13,2,0.958,0,0,0,-
277,269,박준영,NC,유격수,23,8,91,2,0,10,15,4,0.926,0,0,0,-
278,269,강민국,KT,유격수,23,6,65,2,0,11,13,5,0.923,0,0,0,-
279,269,브룩스,KIA,투수,23,23,151 1/3,2,1,13,25,4,0.950,0,0,0,-
280,269,뷰캐넌,삼성,투수,23,23,149,1,0,7,20,2,0.964,0,0,0,-
281,269,이성곤,삼성,1루수,23,14,112 1/3,2,0,102,6,10,0.982,0,0,0,-
282,269,장필준,삼성,투수,23,0,21,0,0,0,2,0,1.000,0,0,0,-
283,269,김범수,한화,투수,23,7,52 1/3,0,0,1,3,0,1.000,0,0,0,-
284,269,박상언,한화,포수,23,5,71 1/3,2,1,53,8,2,0.968,4,7,3,30.0
285,269,반즈,한화,우익수,23,21,180,0,0,42,2,1,1.000,0,0,0,-
286,269,장시환,한화,투수,23,23,119 2/3,1,0,4,17,3,0.955,0,0,0,-
287,269,최인호,한화,좌익수,23,19,167 2/3,0,0,38,1,0,1.000,0,0,0,-
288,289,김강률,두산,투수,22,0,18 2/3,1,0,1,3,0,0.800,0,0,0,-
289,289,유희관,두산,투수,22,22,112,1,2,4,11,1,0.938,0,0,0,-
290,289,오주원,키움,투수,22,0,16,0,0,1,3,0,1.000,0,0,0,-
291,289,문승원,SK,투수,22,22,127 2/3,3,2,4,12,2,0.842,0,0,0,-
292,289,김호은,LG,1루수,22,13,94 1/3,1,0,84,4,8,0.989,0,0,0,-
293,289,윌슨,LG,투수,22,22,131,0,2,14,22,0,1.000,0,0,0,-
294,289,이정용,LG,투수,22,0,24,0,0,0,0,0,-,0,0,0,-
295,289,이창진,KIA,중견수,22,21,177 2/3,0,0,30,2,1,1.000,0,0,0,-
296,289,황윤호,KIA,3루수,22,16,149,4,0,6,43,6,0.925,0,0,0,-
297,289,구자욱,삼성,우익수,22,22,176,1,0,33,1,0,0.971,0,0,0,-
298,289,김민우,한화,투수,22,21,112 2/3,1,0,5,7,1,0.923,0,0,0,-
