,P_ID,year,month,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
375,65764,2020,5,3.90,116,2/3,20,5,12,1,27,12,12,3.90
376,65764,2020,6,7.13,85,2/3,23,4,7,0,21,18,14,5.16
377,65764,2020,7,2.77,116,26,24,1,13,2,22,8,8,4.29
378,65764,2020,8,4.19,89,1/3,13,1,17,4,13,11,9,4.27
379,65764,2020,9,3.68,94,22,21,2,8,0,25,10,9,4.15
380,50404,2020,5,4.50,133,32,30,4,8,4,19,16,16,4.50
381,50404,2020,6,4.56,105,2/3,29,4,6,1,18,13,12,4.53
382,50404,2020,7,2.06,132,35,30,2,6,0,22,10,8,3.57
383,50404,2020,8,4.60,137,1/3,34,2,15,1,13,16,16,3.84
384,50404,2020,9,2.67,115,27,26,2,9,1,25,8,8,3.62
385,65769,2020,5,6.75,39,8,10,2,6,0,7,7,6,6.75
386,65769,2020,6,3.43,95,21,17,2,15,1,21,9,8,4.34
387,65769,2020,7,6.56,109,1/3,24,5,17,2,22,17,17,5.33
388,69360,2020,5,0.00,3,1,0,0,1,0,0,0,0,0.00
389,69360,2020,6,7.27,85,1/3,23,4,12,0,8,15,14,6.87
390,69360,2020,7,16.20,10,2/3,3,0,1,1,1,3,3,7.65
391,69360,2020,8,3.00,27,6,5,0,3,1,3,2,2,6.58
392,69360,2020,9,1.84,61,2/3,9,3,7,2,8,6,3,4.87
393,66801,2020,7,9.00,5,1,2,0,1,0,1,1,1,9.00
394,66801,2020,8,18.00,6,1,2,1,1,0,0,2,2,13.50
395,66801,2020,9,-,3,0,1,0,2,0,0,3,3,27.00
396,67313,2020,5,5.00,79,18,20,2,8,1,16,10,10,5.00
397,67313,2020,7,0.90,38,10,7,1,2,0,9,1,1,3.54
398,67313,2020,8,3.48,143,2/3,32,1,10,2,35,15,13,3.50
399,67313,2020,9,4.03,94,1/3,19,1,7,1,28,10,10,3.64
400,60146,2020,5,4.22,47,2/3,9,2,8,0,10,5,5,4.22
401,60146,2020,6,5.79,40,1/3,9,4,3,0,10,6,6,4.95
402,60146,2020,7,3.24,33,1/3,8,1,3,0,10,3,3,4.45
403,60146,2020,8,1.54,43,2/3,7,1,3,0,10,2,2,3.60
404,60146,2020,9,2.45,28,1/3,3,1,3,0,5,2,2,3.42
405,66291,2020,5,5.14,134,28,32,0,19,2,17,20,16,5.14
406,66291,2020,6,7.84,105,2/3,33,2,8,2,18,19,18,6.29
407,66291,2020,7,4.71,128,2/3,34,2,12,0,16,18,15,5.70
408,66291,2020,8,4.85,137,2/3,34,3,16,0,12,17,16,5.47
409,66291,2020,9,0.82,45,11,8,1,5,1,13,2,1,5.03
410,68341,2020,6,0.00,6,2,0,0,0,0,1,0,0,0.00
411,68341,2020,7,6.00,53,12,8,1,9,0,15,8,8,5.14
412,68341,2020,8,0.00,28,1/3,4,0,3,0,10,0,0,3.38
413,68341,2020,9,3.86,9,1/3,1,1,1,0,2,1,1,3.42
414,67828,2020,5,9.45,30,2/3,5,3,4,1,5,7,7,9.45
415,67828,2020,6,16.20,12,2/3,6,0,0,0,1,5,3,10.80
416,67828,2020,8,13.50,11,2,4,0,2,0,4,3,3,11.32
417,67828,2020,9,7.36,20,2/3,6,0,2,1,4,3,3,10.29
418,64760,2020,6,3.68,30,1/3,4,0,5,0,8,3,3,3.68
419,64760,2020,7,11.37,37,1/3,12,3,3,2,7,8,8,7.24
420,77563,2020,5,21.60,13,2/3,5,1,3,0,1,4,4,21.60
421,77563,2020,6,0.00,30,2/3,2,0,2,0,5,0,0,3.48
422,77563,2020,7,9.64,22,2/3,4,1,5,0,1,5,5,5.40
423,72447,2020,5,9.64,21,2/3,4,0,2,0,4,6,5,9.64
424,72447,2020,6,7.71,12,1/3,5,0,1,0,2,2,2,9.00
425,72447,2020,7,-,1,0,1,0,0,0,0,1,1,10.29
426,72447,2020,8,0.00,4,2/3,1,0,1,0,1,0,0,9.39
427,64768,2020,5,8.53,34,1/3,9,0,5,1,3,6,6,8.53
428,64768,2020,6,3.12,41,2/3,14,0,2,0,4,4,3,5.40
429,64768,2020,7,6.48,36,1/3,9,1,2,1,4,6,6,5.79
430,64768,2020,8,9.00,53,12,15,4,3,0,6,12,12,6.88
431,64768,2020,9,3.32,73,19,18,2,4,0,10,7,7,5.63
432,79617,2020,7,0.00,5,1/3,1,0,0,0,2,0,0,0.00
433,79617,2020,8,81.00,4,1/3,2,0,1,0,1,3,3,16.20
434,66305,2020,7,27.00,13,2/3,5,0,3,0,1,5,5,27.00
435,66305,2020,8,13.50,12,2,5,0,2,0,2,3,3,19.64
436,63248,2020,5,2.13,50,2/3,9,0,3,0,8,3,3,2.13
437,63248,2020,6,3.52,32,2/3,6,0,4,0,10,4,3,2.66
438,63248,2020,7,4.70,35,2/3,9,0,3,0,12,4,4,3.21
439,63248,2020,8,18.00,8,1,3,0,2,0,0,2,2,3.72
440,63248,2020,9,5.02,63,1/3,15,1,5,0,13,8,8,4.15
441,50449,2020,5,0.00,24,5,4,0,4,1,1,0,0,0.00
442,50449,2020,6,4.80,68,15,18,3,9,0,6,8,8,3.60
443,50449,2020,7,9.95,35,1/3,7,0,7,1,6,8,7,5.13
444,50449,2020,8,9.00,14,3,4,1,2,0,0,3,3,5.52
445,63765,2020,5,11.25,23,4,9,2,2,0,2,5,5,11.25
446,63765,2020,6,0.00,3,1,0,0,0,0,0,0,0,9.00
447,63765,2020,7,3.65,53,1/3,12,1,2,1,10,6,5,5.19
448,63765,2020,8,5.59,45,2/3,8,1,9,0,10,6,6,5.33
449,63765,2020,9,4.50,43,10,4,0,9,2,5,5,5,5.11
450,77591,2020,5,4.76,51,1/3,14,2,4,0,9,6,6,4.76
451,77591,2020,6,3.00,32,6,7,0,6,2,3,2,2,4.15
452,77591,2020,7,7.20,24,5,6,0,3,0,9,4,4,4.84
453,77591,2020,8,0.00,6,2,0,0,0,0,3,0,0,4.44
454,77591,2020,9,135.00,6,1/3,3,0,1,1,1,5,5,6.20
455,69399,2020,5,0.00,7,1,2,0,1,0,1,2,0,0.00
456,69399,2020,6,7.94,28,2/3,12,0,1,0,3,5,5,6.75
457,69399,2020,7,18.90,20,1/3,9,0,2,0,0,7,7,10.80
458,69399,2020,8,7.71,25,2/3,10,2,0,1,1,4,4,9.82
459,69399,2020,9,9.53,33,2/3,9,1,4,1,4,8,6,9.74
460,67863,2020,5,2.45,18,2/3,3,0,4,0,3,1,1,2.45
461,67863,2020,6,7.88,40,8,12,2,5,0,7,8,7,6.17
462,67863,2020,7,9.39,42,2/3,13,1,7,0,7,8,8,7.45
463,50464,2020,6,9.64,25,2/3,6,1,7,0,3,5,5,9.64
464,50464,2020,8,15.00,16,3,5,0,3,0,1,5,5,11.74
465,50464,2020,9,12.00,13,3,4,1,1,0,2,4,4,11.81
466,62242,2020,5,5.73,46,11,13,1,1,0,8,7,7,5.73
467,62242,2020,6,2.70,29,2/3,7,0,1,1,1,3,2,4.58
468,62242,2020,7,6.14,29,1/3,8,3,1,0,3,5,5,5.04
469,62242,2020,8,3.48,52,1/3,15,0,6,0,4,5,4,4.58
470,62242,2020,9,2.08,18,1/3,3,0,2,0,3,1,1,4.31
471,62754,2020,5,3.86,85,21,21,0,3,3,19,13,9,3.86
472,62754,2020,6,2.01,91,1/3,22,2,4,1,20,5,5,2.91
473,62754,2020,7,5.85,87,20,22,3,8,0,15,15,13,3.84
474,62754,2020,8,7.11,90,19,26,3,9,0,15,16,15,4.59
475,62754,2020,9,9.88,65,2/3,25,1,0,1,12,15,15,5.34
476,68900,2020,5,5.50,77,18,25,7,1,0,14,13,11,5.50
477,68900,2020,6,13.50,24,2/3,6,1,3,0,1,7,7,7.15
478,68900,2020,7,10.13,15,2/3,7,0,0,0,3,3,3,7.46
479,68900,2020,8,0.00,5,1,2,0,0,0,0,0,0,7.18
480,68900,2020,9,4.50,71,18,17,1,2,1,12,10,9,6.09
481,64805,2020,6,27.00,9,1,3,0,2,0,0,3,3,27.00
482,64805,2020,7,0.00,2,2/3,1,0,0,0,0,0,0,16.20
483,64805,2020,8,5.71,78,1/3,18,2,8,1,20,12,11,6.63
484,64805,2020,9,4.73,63,1/3,17,1,6,1,15,7,7,5.85
485,68902,2020,7,3.38,9,2/3,2,1,0,0,2,1,1,3.38
486,68902,2020,8,6.05,87,1/3,22,4,6,2,9,13,13,5.73
487,68902,2020,9,9.39,39,2/3,13,4,3,0,5,8,8,6.67
488,79140,2020,5,3.86,27,7,7,0,1,1,5,3,3,3.86
489,79140,2020,6,3.77,65,1/3,19,2,4,0,10,7,6,3.80
490,79140,2020,7,4.50,31,8,8,3,2,0,4,4,4,3.99
491,79140,2020,8,5.68,24,1/3,3,0,2,0,7,4,4,4.29
492,79140,2020,9,2.79,38,2/3,9,0,2,0,12,3,3,3.97
493,65320,2020,5,3.67,113,27,27,1,6,0,20,14,11,3.67
494,65320,2020,6,3.69,129,2/3,30,5,5,3,21,13,13,3.68
495,65320,2020,7,11.25,86,16,26,5,9,3,9,20,20,5.30
496,65320,2020,8,4.70,66,1/3,14,2,7,1,8,11,8,5.20
497,67365,2020,8,0.00,20,2/3,5,0,0,0,3,0,0,0.00
498,67365,2020,9,2.45,31,1/3,6,0,4,0,4,2,2,1.38
499,66859,2020,5,10.80,29,5,9,0,4,2,1,6,6,10.80
500,66859,2020,6,1.50,23,6,4,1,2,0,1,2,1,5.73
501,66859,2020,7,9.24,65,2/3,20,2,6,3,5,14,13,7.61
502,66859,2020,8,10.80,55,10,17,2,3,3,8,15,12,8.55
503,68910,2020,8,18.00,8,1,3,1,1,1,2,2,2,18.00
504,68403,2020,5,3.72,44,2/3,13,1,1,1,9,7,4,3.72
505,68403,2020,6,4.85,54,13,11,2,6,0,10,7,7,4.37
506,68403,2020,7,3.27,49,11,7,0,8,0,4,4,4,4.01
507,68403,2020,8,0.93,42,2/3,11,0,6,0,6,1,1,3.32
508,68403,2020,9,15.88,37,2/3,13,2,7,0,4,10,10,4.78
509,69940,2020,5,2.51,133,1/3,31,2,7,0,30,10,9,2.51
510,69940,2020,6,2.25,128,32,23,4,11,1,31,8,8,2.38
511,69940,2020,7,2.32,131,31,26,1,12,3,27,9,8,2.36
512,69940,2020,8,5.90,127,29,34,3,9,3,18,19,19,3.18
513,69940,2020,9,2.92,105,2/3,23,2,7,2,30,8,8,3.14
514,63292,2020,6,2.81,59,16,11,1,4,0,13,5,5,2.81
515,63292,2020,7,10.00,52,9,16,2,10,0,4,10,10,5.40
516,65343,2020,5,27.00,15,1/3,5,0,3,0,4,7,7,27.00
517,65343,2020,6,3.00,28,6,6,1,5,0,4,2,2,9.72
518,65343,2020,7,5.40,15,1/3,4,1,1,0,4,2,2,8.49
519,65343,2020,9,5.40,18,1/3,3,1,4,0,5,6,2,7.80
520,69439,2020,5,5.40,58,1/3,13,3,5,3,10,8,8,5.40
521,69439,2020,7,3.78,67,2/3,13,1,8,0,12,7,7,4.50
