,P_ID,year,month,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
93,75808,2020,6,0.293,65,58,11,17,1,0,0,3,4,1,5,1,10,1,0.257
94,75808,2020,7,0.118,19,17,2,2,0,0,0,4,0,0,2,0,2,1,0.238
95,75808,2020,8,0.167,8,6,0,1,0,0,0,1,0,0,2,0,0,0,0.235
96,75808,2020,9,0.167,8,6,1,1,0,0,0,1,0,0,1,0,1,0,0.232
97,50208,2020,6,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.000
98,50208,2020,8,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.000
99,65057,2020,9,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
100,65060,2020,7,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
101,65060,2020,8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
102,65062,2020,5,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
103,65062,2020,7,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
104,64041,2020,9,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
105,79402,2020,5,0.306,93,72,12,22,6,0,0,5,1,1,17,3,14,1,0.306
106,79402,2020,6,0.300,101,90,16,27,6,0,0,8,5,1,6,3,15,6,0.302
107,79402,2020,7,0.385,93,78,18,30,4,1,3,11,2,1,15,0,4,4,0.329
108,79402,2020,8,0.250,35,32,2,8,1,0,0,3,0,0,1,2,3,0,0.320
109,79402,2020,9,0.315,82,73,18,23,0,1,1,13,2,0,9,0,10,0,0.319
110,50730,2020,7,0.243,43,37,4,9,3,0,1,4,0,0,4,2,10,2,0.243
111,50730,2020,8,0.218,64,55,5,12,3,0,1,8,0,0,7,2,17,0,0.228
112,50730,2020,9,0.213,86,75,9,16,2,0,3,13,0,1,8,1,30,1,0.222
113,66606,2020,5,0.219,89,73,5,16,3,0,0,7,3,0,8,1,10,0,0.219
114,66606,2020,6,0.400,5,5,2,2,0,0,0,1,0,0,0,0,0,0,0.231
115,66606,2020,7,0.600,5,5,3,3,0,0,0,3,0,0,0,0,0,0,0.253
116,66606,2020,8,0.284,81,74,16,21,3,0,1,4,5,0,4,1,8,0,0.268
117,66606,2020,9,0.417,82,72,21,30,6,1,0,7,2,1,7,3,9,0,0.314
118,64560,2020,7,0.352,80,71,16,25,6,1,0,6,0,1,8,1,14,1,0.352
119,64560,2020,8,0.235,19,17,3,4,2,0,0,1,0,0,2,0,3,1,0.330
120,76849,2020,5,0.282,86,78,12,22,1,0,1,7,2,2,4,1,16,1,0.282
121,76849,2020,6,0.392,83,74,17,29,5,0,0,8,2,1,8,1,6,0,0.336
122,76849,2020,7,0.212,70,66,8,14,1,1,0,6,1,0,4,0,15,2,0.298
123,76849,2020,8,0.414,100,87,17,36,7,1,0,14,3,1,11,0,13,0,0.331
124,76849,2020,9,0.256,94,78,12,20,3,0,1,8,3,1,12,1,14,2,0.316
125,65586,2020,5,0.154,13,13,2,2,1,0,0,2,0,0,0,0,6,0,0.154
126,65586,2020,6,0.253,99,91,9,23,5,0,2,15,0,0,7,0,24,0,0.240
127,65586,2020,7,0.279,75,68,6,19,2,1,1,9,2,0,6,1,20,2,0.256
128,65586,2020,8,0.254,77,67,12,17,3,2,2,7,2,0,7,1,12,2,0.255
129,65586,2020,9,0.172,69,58,10,10,1,0,2,9,2,0,11,0,24,0,0.239
130,66614,2020,5,0.125,8,8,0,1,0,0,0,0,1,0,0,0,0,0,0.125
131,66614,2020,6,0.192,35,26,3,5,1,0,0,3,0,0,5,0,11,1,0.176
132,66614,2020,7,0.171,49,41,5,7,1,1,1,2,0,0,5,0,7,0,0.173
133,66614,2020,8,0.146,47,41,5,6,0,0,1,1,0,1,3,1,10,0,0.164
134,66614,2020,9,0.333,22,21,5,7,0,0,1,5,0,0,0,0,4,0,0.190
135,66108,2020,5,0.167,31,18,6,3,3,0,0,2,1,1,11,1,4,1,0.167
136,66108,2020,6,0.216,57,51,7,11,2,1,1,3,2,0,5,0,15,1,0.203
137,66108,2020,7,0.275,89,69,18,19,5,1,0,6,0,0,18,2,10,3,0.239
138,66108,2020,8,0.326,112,92,24,30,9,3,2,10,1,1,15,3,25,2,0.274
139,66108,2020,9,0.308,92,78,18,24,4,1,0,5,3,1,12,0,16,0,0.282
140,66113,2020,6,0.243,38,37,5,9,2,0,0,3,0,0,0,1,4,1,0.243
141,66113,2020,7,0.308,43,39,6,12,2,0,2,5,0,0,4,0,5,0,0.276
142,66113,2020,8,0.000,12,11,1,0,0,0,0,0,0,0,0,1,0,1,0.241
143,66113,2020,9,0.333,10,9,0,3,1,0,0,2,0,0,1,0,3,0,0.250
144,76869,2020,5,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000
145,76869,2020,7,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.000
146,76869,2020,8,0.200,10,10,2,2,0,0,0,0,0,0,0,0,2,0,0.143
147,75334,2020,5,0.344,70,64,10,22,7,0,3,14,0,0,6,0,19,1,0.344
148,75334,2020,6,0.356,68,59,11,21,5,0,3,10,0,0,9,0,9,1,0.350
149,75334,2020,7,0.330,104,97,9,32,7,0,1,15,0,0,6,0,11,2,0.341
150,75334,2020,8,0.306,94,85,11,26,2,0,4,18,0,0,9,0,19,1,0.331
151,75334,2020,9,0.197,79,66,6,13,3,0,3,12,1,0,12,0,17,5,0.307
152,75847,2020,5,0.205,95,73,14,15,5,0,2,11,2,2,17,5,15,1,0.205
153,75847,2020,6,0.301,98,83,16,25,4,0,6,12,1,0,12,3,13,2,0.256
154,75847,2020,7,0.361,89,72,16,26,6,0,9,22,2,0,12,3,13,0,0.289
155,75847,2020,8,0.250,98,76,17,19,3,0,6,23,2,1,16,3,18,1,0.280
156,75847,2020,9,0.147,73,68,6,10,3,0,2,8,0,0,4,0,20,3,0.255
157,71752,2020,5,0.103,34,29,1,3,1,0,0,2,0,0,5,0,6,2,0.103
