"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","RBI","BB","HP","KK","GD","AVG","PA","SB","CS","SF"
2020,7,50923,"NC",87,23,4,2,5,19,5,1,29,3,0.264,94,4,0,1
2020,7,75151,"SK",19,5,0,0,0,0,1,0,6,0,0.263,20,0,0,0
2020,7,78288,"HH",58,15,6,0,0,5,7,1,12,3,0.259,66,0,0,0
2020,7,62265,"HT",66,17,5,0,0,6,14,0,12,3,0.258,82,0,0,2
2020,7,63722,"HT",39,10,2,0,2,5,2,2,10,1,0.256,45,0,0,2
2020,7,61102,"LG",79,20,2,0,3,13,2,2,19,4,0.253,83,0,0,0
2020,7,79215,"OB",83,21,6,0,3,10,11,1,14,1,0.253,96,2,0,1
2020,7,68050,"KT",83,21,5,0,2,12,10,1,19,4,0.253,95,0,1,1
2020,7,79365,"WO",60,15,3,0,3,11,3,1,12,2,0.25,64,0,0,0
2020,7,71837,"SK",44,11,1,0,0,4,3,1,8,1,0.25,49,1,0,1
2020,7,61869,"SK",16,4,1,0,0,1,1,0,3,1,0.25,17,2,0,0
2020,7,62884,"SK",4,1,0,0,0,2,0,0,1,0,0.25,4,0,0,0
2020,7,64115,"LG",12,3,0,0,0,2,1,0,1,0,0.25,13,0,0,0
2020,7,73113,"KT",60,15,1,0,4,14,9,0,19,4,0.25,71,0,1,2
2020,7,64984,"HT",20,5,1,0,1,3,1,0,5,0,0.25,22,1,0,1
2020,7,66838,"SS",52,13,3,0,1,6,4,0,13,2,0.25,56,1,0,0
2020,7,69652,"HT",89,22,5,0,5,15,16,2,8,1,0.247,107,0,0,0
2020,7,75125,"WO",81,20,2,0,6,19,9,2,23,4,0.247,93,0,0,1
2020,7,50730,"HH",37,9,3,0,1,4,4,2,10,2,0.243,43,0,0,0
2020,7,68743,"HH",70,17,1,0,1,9,17,2,8,3,0.243,91,0,0,2
2020,7,76812,"SK",21,5,1,0,0,3,2,1,1,3,0.238,24,0,0,0
2020,7,78122,"NC",21,5,0,0,0,2,0,0,2,0,0.238,25,0,0,4
2020,7,74206,"OB",38,9,2,0,0,5,5,0,3,2,0.237,44,0,0,1
2020,7,65869,"SK",55,13,1,0,2,7,4,2,19,2,0.236,63,1,0,2
2020,7,65610,"HT",17,4,1,0,2,4,3,0,4,1,0.235,20,0,0,0
2020,7,76753,"HH",17,4,1,0,0,2,0,0,5,1,0.235,17,0,0,0
2020,7,62558,"LT",47,11,0,0,0,5,11,0,12,1,0.234,58,0,0,0
2020,7,65399,"WO",52,12,0,0,1,4,7,0,9,3,0.231,59,0,0,0
2020,7,50468,"SS",13,3,0,0,0,2,4,1,3,1,0.231,18,1,0,0
2020,7,74729,"HH",78,18,4,0,3,9,8,0,20,3,0.231,87,0,0,1
2020,7,76249,"LT",67,15,5,0,0,5,4,0,13,4,0.224,73,3,2,2
2020,7,64469,"SS",27,6,4,0,0,5,2,1,4,2,0.222,30,0,0,0
