,순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
34,22,진명호,롯데,3,1,0,1,1,0,6,0,0,0.16699999999999998
35,22,최준용,롯데,3,1,0,0,0,0,4,0,0,0.158
36,37,권휘,두산,4,0,0,1,2,0,2,0,0,0.364
37,37,이현승,두산,4,0,2,0,3,0,5,1,0,0.25
38,37,김동혁,키움,4,1,0,1,0,0,1,0,0,0.2
39,37,이영준,키움,4,0,0,0,5,0,3,0,0,0.25
40,37,박희수,SK,4,1,0,0,4,0,7,0,0,0.19
41,37,김진성,NC,4,3,0,0,1,0,17,0,0,0.098
42,37,배민서,NC,4,1,0,2,1,0,2,0,0,0.28600000000000003
43,37,이재학,NC,4,0,0,3,4,0,2,0,0,0.308
44,37,김명찬,KIA,4,0,0,1,3,1,2,1,0,0.33299999999999996
45,37,홍상삼,KIA,4,1,0,1,7,2,5,1,0,0.19
46,37,오승환,삼성,4,3,0,0,0,1,4,0,0,0.21100000000000002
47,37,김종수,한화,4,0,0,0,8,2,5,1,0,0.154
48,37,안영명,한화,4,1,0,0,1,0,3,0,0,0.222
49,50,박치국,두산,5,0,0,1,5,0,7,0,0,0.161
50,50,김선기,키움,5,1,0,0,2,1,8,1,0,0.172
51,50,오주원,키움,5,1,0,0,0,0,2,0,0,0.278
52,50,이정용,LG,5,2,0,1,0,1,7,0,0,0.185
53,50,정우영,LG,5,0,0,0,5,1,3,0,0,0.2
54,50,진해수,LG,5,1,0,0,6,0,11,2,0,0.156
55,50,박정수,NC,5,1,0,0,4,3,7,0,0,0.22699999999999998
56,50,박진우,NC,5,0,0,0,1,0,3,0,0,0.455
57,50,임정호,NC,5,0,0,1,2,3,7,0,0,0.278
58,50,홍성민,NC,5,1,0,1,3,1,2,1,0,0.278
59,50,하준호,KT,5,0,0,0,5,1,5,0,0,0.156
60,50,고영창,KIA,5,2,0,0,3,0,3,0,0,0.313
61,50,김기훈,KIA,5,1,0,0,3,0,6,1,0,0.313
62,50,이준영,KIA,5,1,0,0,2,0,6,2,0,0.22699999999999998
63,50,전상현,KIA,5,0,0,1,2,0,6,0,0,0.23800000000000002
64,50,정인욱,삼성,5,0,0,1,4,1,3,0,0,0.25
65,50,김진영,한화,5,0,0,0,2,0,8,0,0,0.192
66,50,오현택,롯데,5,2,0,0,0,0,3,0,0,0.25
67,68,김민규,두산,6,1,0,0,3,0,11,0,0,0.171
68,68,김성민,키움,6,1,0,0,2,0,3,0,0,0.429
69,68,김정인,키움,6,3,0,0,3,0,1,0,0,0.75
70,68,양기현,키움,6,0,0,0,4,0,4,0,0,0.24
71,68,백승건,SK,6,0,0,1,9,1,5,1,0,0.28600000000000003
72,68,오원석,SK,6,0,0,1,5,1,3,1,0,0.33299999999999996
73,68,남호,LG,6,3,1,0,3,0,5,0,0,0.231
74,68,이우찬,LG,6,1,0,1,3,2,3,0,0,0.4
75,68,최동환,LG,6,2,0,0,2,0,10,3,0,0.2
76,68,최성훈,LG,6,0,0,0,4,0,3,0,0,0.3
77,68,전유수,KT,6,0,0,0,4,1,7,1,0,0.214
78,68,주권,KT,6,1,0,1,3,0,2,0,0,0.24
79,68,윤대경,한화,6,1,0,0,7,0,12,0,0,0.171
80,68,장민재,한화,6,0,0,0,2,0,3,0,0,0.188
81,68,구승민,롯데,6,1,0,1,4,0,7,0,0,0.261
82,68,박시영,롯데,6,0,0,1,4,0,4,0,0,0.28600000000000003
83,68,이승헌,롯데,6,0,1,0,2,0,5,1,0,0.33299999999999996
84,85,김명신,두산,7,0,0,2,2,1,4,0,0,0.226
85,85,이영하,두산,7,1,0,1,5,1,13,0,0,0.20600000000000002
86,85,박민호,SK,7,1,0,1,4,0,6,0,0,0.20600000000000002
87,85,김대현,LG,7,0,0,0,7,1,3,2,0,0.318
