,순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
54,55,김재호,두산,0.302,53,16,0,0,0,2,4,0,11,0
55,56,오태곤,SK,0.3,60,18,3,0,2,7,2,1,8,1
56,57,이천웅,LG,0.298,47,14,4,1,2,7,4,0,9,4
57,58,터커,KIA,0.297,64,19,7,0,5,20,12,1,9,1
58,59,이정후,키움,0.29600000000000004,71,21,4,0,1,17,13,0,11,0
59,60,하주석,한화,0.29,62,18,2,0,0,5,6,1,17,1
60,61,박건우,두산,0.29,69,20,9,0,0,11,3,0,8,2
61,61,로맥,SK,0.29,69,20,1,0,7,18,8,2,14,0
62,63,허정협,키움,0.28800000000000003,59,17,2,0,0,9,9,0,14,0
63,64,오지환,LG,0.28800000000000003,66,19,4,0,1,7,9,1,18,0
64,65,최지훈,SK,0.28600000000000003,63,18,2,0,0,4,3,0,13,1
65,65,나성범,NC,0.28600000000000003,42,12,1,0,2,9,4,0,13,0
66,65,김민식,KIA,0.28600000000000003,42,12,2,0,2,6,2,0,4,1
67,65,이용규,한화,0.28600000000000003,42,12,3,1,0,2,4,0,3,0
68,65,최재훈,한화,0.28600000000000003,35,10,0,0,0,4,2,2,5,0
69,70,최주환,두산,0.28300000000000003,60,17,2,0,1,6,4,1,8,0
70,71,최항,SK,0.282,39,11,1,0,2,7,8,0,4,0
71,72,김성현,SK,0.278,54,15,3,0,1,8,3,0,3,3
72,73,오준혁,SK,0.273,11,3,0,0,0,0,1,0,2,1
73,73,권희동,NC,0.273,44,12,3,0,0,6,2,1,8,0
74,73,송광민,한화,0.273,33,9,0,0,2,11,1,1,9,0
75,73,정진호,한화,0.273,33,9,2,0,0,1,3,2,10,1
76,77,이병규,롯데,0.271,59,16,2,0,4,15,11,0,16,3
77,78,이대호,롯데,0.27,74,20,4,0,1,11,7,0,11,4
78,79,박성한,SK,0.267,15,4,1,0,0,2,2,0,3,0
79,79,이성곤,삼성,0.267,15,4,2,0,0,1,2,0,6,1
80,81,이원재,NC,0.263,19,5,0,0,2,4,2,0,4,2
81,82,김혜성,키움,0.26,73,19,4,1,0,6,3,1,13,1
82,83,민병헌,롯데,0.259,27,7,0,0,0,4,4,0,5,2
83,84,김웅빈,키움,0.258,62,16,3,0,4,12,8,1,21,3
84,85,이형종,LG,0.257,35,9,4,0,1,3,2,1,10,1
85,86,박석민,NC,0.255,51,13,4,0,0,6,7,2,13,3
86,87,정수빈,두산,0.254,59,15,3,1,0,2,7,0,9,2
87,88,배정대,KT,0.254,67,17,1,0,3,13,9,0,19,1
88,89,김창평,SK,0.25,4,1,1,0,0,0,0,0,0,1
89,89,정주현,LG,0.25,48,12,2,0,0,0,2,0,8,2
90,89,강진성,NC,0.25,60,15,2,0,0,5,3,1,6,2
91,89,김태군,NC,0.25,8,2,0,0,0,0,1,0,0,1
92,89,김재현,삼성,0.25,4,1,0,0,0,1,2,0,1,0
93,89,박해민,삼성,0.25,60,15,3,1,1,5,11,2,5,0
94,89,정기훈,한화,0.25,4,1,0,0,0,0,0,0,2,0
95,89,최진행,한화,0.25,24,6,0,0,1,3,2,2,8,0
96,89,강태율,롯데,0.25,4,1,0,0,0,0,3,0,1,0
97,89,오윤석,롯데,0.25,12,3,1,0,0,1,3,0,3,0
98,99,장성우,KT,0.24600000000000002,57,14,2,0,1,8,2,0,11,3
99,100,김헌곤,삼성,0.245,53,13,1,0,1,10,4,0,5,3
100,101,박찬호,KIA,0.245,49,12,3,0,0,5,8,0,6,1
101,101,정훈,롯데,0.245,49,12,1,0,1,5,9,1,7,1
102,103,박세혁,두산,0.244,45,11,2,0,0,7,7,2,9,1
103,104,이명기,NC,0.243,70,17,3,0,1,5,12,1,13,2
104,105,강민호,삼성,0.23800000000000002,42,10,1,0,1,3,5,0,5,4
105,106,조용호,KT,0.23399999999999999,47,11,2,0,0,3,6,0,13,1
106,107,유한준,KT,0.23199999999999998,56,13,0,0,1,9,5,0,6,0
107,108,박준태,키움,0.231,39,9,1,0,2,6,8,1,11,0
108,109,양석환,LG,0.22899999999999998,48,11,2,0,3,7,4,1,12,0
109,110,허경민,두산,0.228,57,13,3,0,1,6,5,0,2,3
110,111,고종욱,SK,0.22699999999999998,66,15,2,0,1,1,3,0,12,0
111,111,팔카,삼성,0.22699999999999998,66,15,3,0,3,12,7,0,18,0
112,113,라모스,LG,0.22399999999999998,67,15,4,1,5,16,11,0,28,1
113,113,마차도,롯데,0.22399999999999998,67,15,3,0,1,7,9,1,9,5
114,115,황대인,KIA,0.222,9,2,0,0,0,0,2,0,3,0
115,115,김도환,삼성,0.222,9,2,0,0,0,2,0,0,3,0
116,115,이성열,한화,0.222,45,10,2,0,2,7,2,1,17,1
117,115,김동한,롯데,0.222,9,2,1,0,0,0,0,0,3,0
118,119,박동원,키움,0.21600000000000003,37,8,2,0,0,3,8,2,13,2
119,120,이홍구,KT,0.214,14,3,1,0,0,1,0,1,5,0
120,121,오재일,두산,0.213,61,13,3,0,3,12,11,0,16,5
121,121,심우준,KT,0.213,61,13,3,0,0,6,4,0,16,0
122,123,러셀,키움,0.212,66,14,3,0,0,6,6,1,9,1
123,124,정의윤,SK,0.21100000000000002,19,4,2,0,0,3,0,0,5,0
124,125,김성욱,NC,0.207,29,6,0,0,2,2,5,0,6,0
125,125,김지찬,삼성,0.207,29,6,0,0,0,1,6,0,9,0
126,127,홍종표,KIA,0.20600000000000002,34,7,2,0,0,1,1,0,5,1
127,127,노시환,한화,0.20600000000000002,68,14,3,0,1,8,9,0,29,2
128,129,유민상,KIA,0.203,59,12,4,0,1,9,6,1,11,2
129,130,노진혁,NC,0.203,64,13,2,0,1,6,8,2,21,0
130,131,이지영,키움,0.2,30,6,1,0,0,3,2,1,2,2
131,131,강경학,한화,0.2,40,8,1,0,2,7,7,2,15,1
132,133,전병우,키움,0.192,52,10,1,0,2,9,10,0,21,0
133,134,유강남,LG,0.18899999999999997,53,10,3,0,0,5,3,1,10,3
134,135,김재환,두산,0.188,64,12,2,0,4,13,9,1,15,1
135,136,도태훈,NC,0.182,11,2,0,0,0,1,2,0,3,0
136,136,강민국,KT,0.182,11,2,0,0,0,1,1,0,1,0
137,136,허일,롯데,0.182,11,2,1,0,0,1,1,0,3,0
